FlightId,Ordinal,LatitudeDegrees,LongitudeDegrees,AltitudeFeet,AirspeedKnots
308663982,1,33.3996585135,-99.3741488693,38000,450
308663982,2,32.844911,-96.851935,17000,450
308663997,1,33.7333706651,-99.4558479218,38000,450
308663997,2,32.897449,-97.040653,17000,450
308664001,1,30.6716762658,-97.4929688088,38000,450
308664001,2,29.654107,-95.276614,17000,450
308664022,1,33.9425,-118.408056,17000,450
308664025,1,39.297695,-94.716287,17000,450
308664034,1,41.05737466,-90.4255330217,38000,450
308664034,2,41.98032,-87.902313,17000,450
308668072,1,37.1530832558,-78.7430730379,38000,450
308668072,2,38.851944,-77.0375,17000,450
308668076,1,37.058473387,-78.5866971529,38000,450
308668076,2,38.851944,-77.0375,17000,450
308668083,1,39.0336549009,-102.124691703,38000,450
308668083,2,39.849312,-104.673829,17000,450
308668095,1,39.0382727067,-102.14581596,38000,450
308668095,2,39.849312,-104.673829,17000,450
308668111,1,32.8255685742,-94.4640872124,38000,450
308668111,2,32.897449,-97.040653,17000,450
308668120,1,32.2998998974,-94.5698173165,38000,450
308668120,2,32.897449,-97.040653,17000,450
308668131,1,40.0386630974,-83.5424057216,38000,450
308668131,2,42.208343,-83.357175,17000,450
308668187,1,27.9647895083,-81.3640702118,38000,450
308668187,2,26.072747,-80.140029,17000,450
308668197,1,26.072747,-80.140029,17000,450
308668268,1,30.5803544018,-92.9797407686,38000,450
308668268,2,29.654107,-95.276614,17000,450
308668294,1,37.3761841729,-79.3123836975,38000,450
308668294,2,38.953381,-77.447712,17000,450
308668302,1,30.8655881599,-93.0117819221,38000,450
308668302,2,29.986679,-95.338111,17000,450
308668308,1,30.8559585135,-93.0116650134,38000,450
308668308,2,29.986679,-95.338111,17000,450
308668332,1,37.6683771562,-85.3639103591,38000,450
308668332,2,39.714975,-86.296213,17000,450
308668365,1,40.643772,-73.781993,17000,450
308668380,1,33.9425,-118.408056,17000,450
308668383,0,34.0723561052,-106.44545628,38000,450
308668383,1,33.927138914,-115.788447899,38000,450
308668383,2,33.9425,-118.408056,17000,450
308668387,1,34.1532410785,-115.802583771,38000,450
308668387,2,33.9425,-118.408056,17000,450
308668389,1,34.1075403273,-115.781113502,38000,450
308668389,2,33.9425,-118.408056,17000,450
308668391,0,34.0602080004,-106.439634226,38000,450
308668391,1,33.9244928105,-115.789268538,38000,450
308668391,2,33.9425,-118.408056,17000,450
308668408,0,38.7548845503,-76.5772780477,38000,450
308668408,1,39.1852372256,-75.7564985823,38000,450
308668408,2,40.77392,-73.872002,17000,450
308668472,1,30.2396465978,-82.6963705944,38000,450
308668472,2,28.431639,-81.308286,17000,450
308668523,1,35.044702,-89.981659,17000,450
308668540,1,27.7657513575,-81.3391819982,38000,450
308668540,2,25.796549,-80.275614,17000,450
308668603,1,44.881234,-93.203111,17000,450
308668604,1,43.0451029729,-91.6829652809,38000,450
308668604,2,44.881234,-93.203111,17000,450
308668609,1,31.342749024,-88.2766567328,38000,450
308668609,2,29.984223,-90.255969,17000,450
308668611,1,29.984223,-90.255969,17000,450
308668639,1,35.3714953177,32.4914934767,38000,450
308668639,2,35.395645,35.395645,17000,450
308668651,1,40.0464139606,-86.6135843476,38000,450
308668651,2,41.98032,-87.902313,17000,450
308668684,1,28.386415505,-81.632622797,38000,450
308668684,2,26.688618,-80.090697,17000,450
308668689,1,26.688618,-80.090697,17000,450
308668695,1,45.589237,-122.593889,17000,450
308668704,1,38.4259717052,-77.2792800675,38000,450
308668704,2,39.874972,-75.249071,17000,450
308668727,1,32.7684731113,-109.557732656,38000,450
308668727,2,33.43653,-112.007268,17000,450
308668732,0,34.289848898,-106.270190828,38000,450
308668732,1,33.4607317923,-109.401485333,38000,450
308668732,2,33.43653,-112.007268,17000,450
308668781,1,34.7517237645,-81.0496375557,38000,450
308668781,2,35.876723,-78.793058,17000,450
308668808,1,28.5344563578,-82.7588954093,38000,450
308668808,2,26.54285,-81.754568,17000,450
308668811,0,32.3599852819,-113.483707342,38000,450
308668811,1,32.6132151952,-114.6303596,38000,450
308668811,2,32.7319,-117.197312,17000,450
308668851,1,46.4737695666,-119.689051149,38000,450
308668851,2,47.44443,-122.300497,17000,450
308668854,1,47.2183506621,-119.13588275,38000,450
308668854,2,47.44443,-122.300497,17000,450
308668859,0,37.9666513887,-116.123297673,38000,450
308668859,1,37.6376892399,-119.651872301,38000,450
308668859,2,37.615223,-122.389979,17000,450
308668867,1,38.0516168223,-119.695258236,38000,450
308668867,2,37.615223,-122.389979,17000,450
308668888,1,40.0169932158,-109.361978561,38000,450
308668888,2,40.785596,-111.980673,17000,450
308668929,1,29.8116861532,-83.8684223503,38000,450
308668929,2,27.976891,-82.533377,17000,450
308668956,1,35.5220255934,-93.3697553551,38000,450
308668956,2,36.189265,-95.889037,17000,450
308672706,1,35.7734815326,-83.5202485482,38000,450
308672706,2,35.220969,-80.944215,17000,450
308672750,1,40.5253438026,-77.0197639903,38000,450
308672750,2,40.68987,-74.17821,17000,450
308672768,1,31.7138379713,-93.7730514985,38000,450
308672768,2,29.986679,-95.338111,17000,450
308672790,1,39.7579241685,-76.3420345262,38000,450
308672790,2,40.77392,-73.872002,17000,450
308672844,1,40.4479105092,-77.9967830841,38000,450
308672844,2,39.874972,-75.249071,17000,450
308672855,1,47.44443,-122.300497,17000,450
308674105,1,35.1141550282,-82.4460890274,38000,450
308674105,2,33.639975,-84.444032,17000,450
308674111,1,35.0622021086,-82.4248915893,38000,450
308674111,2,33.639975,-84.444032,17000,450
308674114,1,35.0974337203,-82.4197613057,38000,450
308674114,2,33.639975,-84.444032,17000,450
308674162,1,42.0335772752,-79.0314872581,38000,450
308674162,2,41.411675,-81.834693,17000,450
308674165,1,35.220969,-80.944215,17000,450
308674178,1,39.3035357012,-81.8778098989,38000,450
308674178,2,39.055222,-84.661251,17000,450
308674196,1,40.2282405254,-74.8351559914,38000,450
308674196,2,38.851944,-77.0375,17000,450
308674217,1,33.7752338282,-94.5650504433,38000,450
308674217,2,32.897449,-97.040653,17000,450
308674219,1,33.8048555105,-94.6498534504,38000,450
308674219,2,32.897449,-97.040653,17000,450
308674223,1,33.8086998428,-94.5454111714,38000,450
